Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
HON,Honeywell International Inc. Common Stock,$218.62,0.14,0.064%,150503030795.00,United States,,2615261,Capital Goods,Office Equipment/Supplies/Services
HOOD,Robinhood Markets Inc. Class A Common Stock,$34.97,-0.50,-1.41%,29912816318.00,United States,2021,10662250,Technology,Computer Software: Prepackaged Software
HSIC,Henry Schein Inc. Common Stock,$76.35,0.83,1.099%,10665576584.00,United States,1995,757705,Health Care,Medical Specialities
HST,Host Hotels & Resorts Inc. Common Stock,$16.83,-0.04,-0.237%,12016173719.00,United States,,8963887,Consumer Services,Real Estate Investment Trusts
HTHT,Huazhu Group Limited American Depositary Shares,$46.36,-0.88,-1.863%,15004473990.00,China,2010,827280,Consumer Services,Hotels/Resorts
HZNP,Horizon Therapeutics Public Limited Company Ordinary Shares,$119.91,2.06,1.748%,27086874596.00,Ireland,2011,1568972,Health Care,Biotechnology: Pharmaceutical Preparations
IAC,IAC/InterActiveCorp Common Stock,$152.37,-1.63,-1.058%,12089457560.00,United States,,423846,Consumer Services,EDP Services
ICLR,ICON plc Ordinary Shares,$286.77,0.34,0.119%,22851601537.00,Ireland,1998,353601,Health Care,Biotechnology: Commercial Physical & Biological Resarch
IEP,Icahn Enterprises L.P. Common Stock,$57.60,-0.18,-0.312%,15237000115.00,United States,,124227,,
ILMN,Illumina Inc. Common Stock,$415.06,1.51,0.365%,129913780000.00,United States,2000,513608,Health Care,Medical Specialities
INCY,Incyte Corp. Common Stock,$66.98,1.24,1.886%,14791546318.00,United States,,1654069,Health Care,Biotechnology: Commercial Physical & Biological Resarch
INTC,Intel Corporation Common Stock,$49.00,0.92,1.913%,199283000000.00,United States,,42255746,Technology,Semiconductors
INTU,Intuit Inc. Common Stock,$625.99,10.58,1.719%,170952816635.00,United States,1993,1038228,Technology,Computer Software: Prepackaged Software
ISRG,Intuitive Surgical Inc. Common Stock,$361.13,5.52,1.552%,129008947613.00,United States,2000,1558554,Health Care,Medical/Dental Instruments
JBHT,J.B. Hunt Transport Services Inc. Common Stock,$197.19,-0.82,-0.414%,20707710660.00,United States,,386498,Transportation,Trucking Freight/Courier Services
JD,JD.com Inc. American Depositary Shares,$78.28,-2.64,-3.262%,121502771680.00,China,2014,8068807,Miscellaneous,Business Services
JKHY,Jack Henry & Associates Inc. Common Stock,$166.48,2.63,1.605%,12319375995.00,United States,1985,461621,Technology,Retail: Computer Software & Peripheral Equipment
KDP,Keurig Dr Pepper Inc. Common Stock,$36.09,0.60,1.691%,51163023652.00,United States,,7624451,Consumer Non-Durables,Beverages (Production/Distribution)
KHC,The Kraft Heinz Company Common Stock,$35.89,-0.59,-1.617%,43907364311.00,United States,,6244441,Consumer Non-Durables,Farming/Seeds/Milling
KLAC,KLA Corporation Common Stock,$372.76,17.42,4.902%,56656799225.00,United States,1980,1603323,Capital Goods,Electronic Components
LAMR,Lamar Advertising Company Class A Common Stock,$113.20,0.70,0.622%,11453872358.00,United States,1996,570802,Consumer Services,Real Estate Investment Trusts
LBRDA,Liberty Broadband Corporation Class A Common Stock,$160.77,-8.16,-4.83%,29231436446.00,United States,,215960,Consumer Services,Television Services
