Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
XLNX,Xilinx Inc. Common Stock,$180.00,-0.84,-0.464%,44544270600.00,United States,1990,1361751,Technology,Semiconductors
XLRN,Acceleron Pharma Inc. Common Stock,$174.18,-0.06,-0.034%,10645136806.00,United States,2013,710273,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
XM,Qualtrics International Inc. Class A Common Stock,$46.32,0.57,1.246%,25069687306.00,United States,2021,1144594,Technology,Computer Software: Prepackaged Software
XP,XP Inc. Class A Common Stock,$32.81,-0.96,-2.843%,18342724642.00,Brazil,2019,3026222,Finance,Investment Bankers/Brokers/Service
XRAY,DENTSPLY SIRONA Inc. Common Stock,$57.21,-0.06,-0.105%,12503279883.00,United States,1987,1135335,Health Care,Medical/Dental Instruments
YNDX,Yandex N.V. Class A Ordinary Shares,$82.84,-0.26,-0.313%,29000164953.00,Netherlands,2011,1373801,Technology,Internet and Information Services
Z,Zillow Group Inc. Class C Capital Stock,$103.63,5.03,5.101%,26276025172.00,United States,,17363483,Miscellaneous,Business Services
ZBRA,Zebra Technologies Corporation Class A Common Stock,$533.95,1.89,0.355%,28514514230.00,United States,1991,266207,Technology,Computer peripheral equipment
ZG,Zillow Group Inc. Class A Common Stock,$105.72,5.16,5.131%,26805957552.00,United States,2011,5251049,Miscellaneous,Business Services
ZI,ZoomInfo Technologies Inc. Class A Common Stock,$67.22,0.07,0.104%,14998489522.00,United States,2020,1204361,Technology,Computer Software: Prepackaged Software
ZM,Zoom Video Communications Inc. Class A Common Stock,$274.65,-1.93,-0.698%,81606178284.00,United States,2019,1492488,Technology,Computer Software: Prepackaged Software
ZS,Zscaler Inc. Common Stock,$318.86,2.52,0.797%,44237354902.00,United States,2018,1084277,Technology,EDP Services
